name,discounted_price,original_price,star_rating,review_score,review_title,number_of_reviews,neighborhood,distance_from_center,free_cancellation,prepayment_needed,breakfast_included,time_to_travel,length_of_stay,snapshot_date
Hampton Inn NY-JFK,234.0,574.0,5.0,7.8,Very good,5827.0,John F. Kennedy International Airport,16.7,True,False,True,1,1,2025-03-09
Hard Rock Hotel New York,485.0,485.0,4.0,8.9,Excellent,427.0,Times Square,0.0,False,True,True,1,1,2025-03-09
INNSiDE by Meliá New York Nomad,332.0,889.0,5.0,8.6,Excellent,1065.0,Chelsea,0.0,False,True,True,1,1,2025-03-09
YOTEL New York Times Square,179.0,962.0,4.0,8.0,Excellent,836.0,Times Square,0.0,False,True,True,1,1,2025-03-09
Hyatt Herald Square New York,318.0,318.0,4.0,8.3,Excellent,1603.0,Gramercy,0.0,False,True,True,1,1,2025-03-09
Hampton Inn New York - LaGuardia Airport,209.0,636.0,3.0,8.4,Excellent,71.0,LaGuardia Airport,7.7,True,False,True,1,1,2025-03-09
SpringHill Suites by Marriott New York Midtown Manhattan/Fifth Avenue,427.0,679.0,5.0,8.7,Excellent,15.0,Times Square,0.0,False,False,True,1,1,2025-03-09
Phoenix Hotel Brooklyn Sunset Park,81.0,326.0,5.0,6.1,Good,190.0,Brooklyn,9.7,False,True,False,1,1,2025-03-09
Hilton Garden Inn New York Times Square North,393.0,867.0,4.0,8.6,Excellent,271.0,Times Square,0.0,True,False,True,1,1,2025-03-09
The Knickerbocker Hotel,570.0,1090.0,5.0,8.7,Excellent,2822.0,Times Square,0.0,False,True,False,1,1,2025-03-09
DoubleTree by Hilton New York JFK Airport,248.0,428.0,4.0,7.2,Very good,77.0,John F. Kennedy International Airport,16.5,True,False,True,1,1,2025-03-09
The Westin New York at Times Square,531.0,531.0,5.0,8.4,Excellent,2829.0,Times Square,0.0,False,True,False,1,1,2025-03-09
HOTEL ROSE,123.0,200.0,5.0,8.6,Excellent,34.0,Bronx,7.5,False,True,False,1,1,2025-03-09
Night Hotel Broadway,125.0,498.0,5.0,7.0,Very good,1236.0,Upper West Side,2.8,False,True,False,1,1,2025-03-09
Hotel Hayden,194.0,541.0,4.0,7.5,Very good,3877.0,Chelsea,0.0,False,False,False,1,1,2025-03-09
The Manhattan At Times Square an IHG Hotel,138.0,698.0,4.0,6.5,Good,2210.0,Times Square,0.0,False,True,True,1,1,2025-03-09
La Quinta Inn & Suites by Wyndham New York City Central Park,253.0,554.0,5.0,7.0,Very good,5096.0,Upper West Side,0.9,False,True,True,1,1,2025-03-09
Hotel Alameda High Line,200.0,788.0,5.0,7.9,Very good,121.0,Chelsea,0.0,False,False,True,1,1,2025-03-09
Hotel TREMONT Bronx Yankee Stadium,142.0,491.0,5.0,7.3,Very good,140.0,Bronx,11.2,False,False,False,1,1,2025-03-09
The Baltic Hotel,141.0,442.0,3.0,7.3,Very good,221.0,Brooklyn,6.0,False,False,True,1,1,2025-03-09
Paramount Times Square,193.0,398.0,4.0,7.3,Very good,6892.0,Times Square,0.0,False,True,False,1,1,2025-03-09
Hyatt Regency Times Square,,,4.0,8.1,Excellent,1250.0,Times Square,0.0,False,True,False,1,1,2025-03-09
"Public, an Ian Schrager Hotel",350.0,476.0,4.0,8.3,Excellent,329.0,Lower East Side,2.0,False,True,False,1,1,2025-03-09
HI New York City Hostel,247.0,449.0,2.0,8.6,Excellent,4232.0,Upper West Side,3.5,False,False,False,1,1,2025-03-09
Pod Times Square,181.0,181.0,3.0,8.5,Excellent,1827.0,Times Square,0.0,False,False,False,1,1,2025-03-09
THE VINE HOTEL BRAND NEW,108.0,176.0,2.0,7.8,Very good,7.0,Bronx,15.8,False,True,False,1,1,2025-03-09
The Gallivant Times Square,150.0,278.0,5.0,6.7,Good,1768.0,Times Square,0.0,False,True,False,1,1,2025-03-09
U Hotel Fifth Avenue,150.0,652.0,3.0,8.2,Excellent,4227.0,Times Square,0.0,False,False,False,1,1,2025-03-09
Hotel Pergola Jamaica JFK,149.0,368.0,3.0,6.0,Good,354.0,John F. Kennedy International Airport,16.3,False,True,False,1,1,2025-03-09
Serenity Room JFK,80.0,135.0,5.0,7.9,Very good,98.0,John F. Kennedy International Airport,22.6,False,True,False,1,1,2025-03-09
Hotel Edison,219.0,219.0,4.0,7.8,Very good,12865.0,Times Square,0.0,False,False,True,1,1,2025-03-09
Americana Inn,144.0,144.0,2.0,7.7,Very good,456.0,Times Square,0.0,False,True,False,1,1,2025-03-09
hotel365,130.0,565.0,5.0,8.0,Excellent,419.0,Bronx,6.7,False,False,False,1,1,2025-03-09
Hotel Le Bleu,132.0,506.0,3.0,7.8,Very good,308.0,Brooklyn,7.0,False,True,False,1,1,2025-03-09
TRYP by Wyndham New York City Times Square / Midtown,151.0,551.0,5.0,7.8,Very good,1526.0,Times Square,0.0,False,False,True,1,1,2025-03-09
City Club Hotel,235.0,392.0,4.0,7.9,Very good,897.0,Times Square,0.0,False,False,True,1,1,2025-03-09
"The New Yorker, A Wyndham Hotel",187.0,749.0,4.0,7.8,Very good,14729.0,Times Square,0.0,False,True,False,1,1,2025-03-09
Pod 51,174.0,174.0,3.0,8.0,Excellent,12226.0,Midtown East,0.0,False,False,False,1,1,2025-03-09
,,,,,,,,0.0,False,True,False,1,1,2025-03-09
The Parc Hotel,117.0,313.0,5.0,7.9,Very good,236.0,LaGuardia Airport,10.4,False,False,True,1,1,2025-03-09
Essence hotel,127.0,509.0,5.0,7.4,Very good,16.0,Brooklyn,6.3,False,True,False,1,1,2025-03-09
Westgate New York Grand Central,305.0,305.0,4.0,8.1,Excellent,190.0,Midtown East,0.0,False,True,False,1,1,2025-03-09
Royalton New York,222.0,887.0,4.0,8.2,Excellent,493.0,Times Square,0.0,False,True,False,1,1,2025-03-09
Hotel Mint JFK Airport,95.0,230.0,3.0,5.5,Review score,538.0,John F. Kennedy International Airport,23.5,False,True,False,1,1,2025-03-09
Quality Inn JFK Airport Rockaway Blvd,140.0,338.0,2.0,5.8,Review score,258.0,John F. Kennedy International Airport,17.7,False,True,True,1,1,2025-03-09
Carnegie Hotel,289.0,536.0,4.0,8.8,Excellent,2656.0,Midtown West,0.0,False,True,True,1,1,2025-03-09
Voyage Hotel,89.0,221.0,2.0,5.3,Review score,400.0,Long Island City,1.5,False,True,False,1,1,2025-03-09
Ink 48 Hotel,327.0,581.0,5.0,8.0,Excellent,388.0,Midtown West,0.0,False,True,False,1,1,2025-03-09
Flushing Central Hotel 88,96.0,295.0,2.0,7.8,Very good,377.0,LaGuardia Airport,10.7,False,True,False,1,1,2025-03-09
"EVEN Hotel Brooklyn, an IHG Hotel",268.0,464.0,4.0,8.2,Excellent,277.0,Brooklyn,5.4,False,True,True,1,1,2025-03-09
John Hotel,119.0,119.0,5.0,8.1,Excellent,304.0,LaGuardia Airport,10.5,False,False,True,1,1,2025-03-09
Hudson Yards Hotel,187.0,399.0,2.0,7.4,Very good,16.0,Midtown West,0.0,False,False,False,1,1,2025-03-09
The Wall Street Hotel,524.0,524.0,5.0,9.6,Exceptional,37.0,Financial District,4.4,False,True,False,1,1,2025-03-09
Radio Hotel,117.0,468.0,4.0,8.5,Excellent,56.0,Harlem,9.8,False,True,False,1,1,2025-03-09
Arlo NoMad,280.0,280.0,4.0,8.5,Excellent,2997.0,Gramercy,0.0,False,True,True,1,1,2025-03-09
Central Park West Hostel,132.0,132.0,2.0,5.7,Review score,1219.0,Upper West Side,2.2,False,True,False,1,1,2025-03-09
,,,,,,,,0.0,False,False,False,1,1,2025-03-09
West Side YMCA Hostel,93.0,244.0,2.0,7.4,Very good,1553.0,Upper West Side,0.4,False,False,False,1,1,2025-03-09
Casa Blanca Hotel Brooklyn,116.0,312.0,3.0,7.1,Very good,342.0,Brooklyn,4.3,False,True,False,1,1,2025-03-09
Rockaway Hotel,130.0,199.0,3.0,6.9,Good,218.0,Brooklyn,9.2,False,False,False,1,1,2025-03-09
7 Days Hotel,114.0,209.0,3.0,7.6,Very good,115.0,Bronx,12.2,False,False,False,1,1,2025-03-09
The Brooklyn,175.0,437.0,5.0,6.9,Good,414.0,Brooklyn,6.5,False,True,False,1,1,2025-03-09
Hotel Park Ave,296.0,296.0,5.0,7.9,Very good,1470.0,Gramercy,0.0,False,True,False,1,1,2025-03-09
The FIDI Hotel,179.0,283.0,4.0,8.3,Excellent,1658.0,Financial District,0.0,False,False,False,1,1,2025-03-09
Flushing Hotel,117.0,250.0,2.0,6.2,Good,267.0,LaGuardia Airport,10.7,False,False,False,1,1,2025-03-09
NOMO SOHO Hotel,320.0,557.0,5.0,8.5,Excellent,273.0,Soho,2.7,False,False,False,1,1,2025-03-09
