name,price,review_score,review_title,number_of_reviews,star_rating,kms_from_centre,location_score,room_type,bed_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
Iroquois New York Times Square,US$218,8.5,Very good,2625,5.0,1.4,9.7,Superior 1 Queen Bed,1 large double bed,True,False,True,1,1,2025-02-02
Four Points by Sheraton New York Downtown,US$111,7.8,Good,1988,3.0,7.0,,"Guest Room, 1 King",1 extra-large double bed,False,True,False,1,1,2025-02-02
The Washington by LuxUrban,US$171,7.7,Good,9445,4.0,7.1,9.4,King Room - Non-Smoking,1 extra-large double bed,False,False,True,1,1,2025-02-02
"The Mayfair Hotel Times Square, Ascend Hotel Collection",US$141,8.6,Fabulous,1895,3.0,0.8,9.6,Deluxe Double Room - Non Smoking,1 double bed,False,False,True,1,1,2025-02-02
M Social Hotel Times Square New York,US$232,8.4,Very good,11794,4.0,0.6,9.6,Social City View Doubles,2 double beds,False,False,True,1,1,2025-02-02
City Club Hotel,US$125,7.3,Good,2515,4.0,1.4,,Double Bed Room,1 single bed,True,False,True,1,1,2025-02-02
Hotel St. James,US$130,8.1,Very good,3207,2.0,1.2,9.7,One Full Bed Room,1 double bed,False,False,True,1,1,2025-02-02
"The Cloud One New York-Downtown, by the Motel One Group",US$163,8.6,Fabulous,6371,4.0,7.0,9.4,Standard King Room,1 extra-large double bed,False,False,True,1,1,2025-02-02
Doubletree By Hilton New York Times Square West,US$152,6.8,Review score,11271,4.0,1.6,,Standard King Room,1 extra-large double bed,False,False,True,1,1,2025-02-02
Wingate by Wyndham New York Midtown South/5th Ave,US$144,8.4,Very good,2387,3.0,1.9,9.5,King Room - Non-Smoking,1 extra-large double bed,True,False,True,1,1,2025-02-02
Hampton Inn by Hilton New York Times Square,US$168,7.8,Good,2429,3.0,1.0,9.5,King Room with Roll-In Shower - Mobility Access,1 extra-large double bed,True,False,True,1,1,2025-02-02
UNTITLED at 3 Freeman Alley,US$227,8.4,Very good,565,4.0,5.2,,Studio Mini,1 double bed,True,False,True,1,1,2025-02-02
The Chelsean New York,US$120,7.0,Good,2729,3.0,2.8,,King Room - Disability Access,1 extra-large double bed,False,False,True,1,1,2025-02-02
citizenM New York Bowery,US$209,8.7,Fabulous,3309,4.0,5.4,,King Room,1 extra-large double bed,False,False,True,1,1,2025-02-02
Aura Hotel Times Square Newly Renovated,US$166,7.6,Good,447,4.0,1.3,9.3,Standard Full,1 single bed,False,False,True,1,1,2025-02-02
Radio Hotel,US$87,7.7,Good,1716,4.0,9.8,,Standard Studio,Entire studio•1 bathroom•17m²,False,False,True,1,1,2025-02-02
The Herald by LuxUrban,US$178,7.7,Good,8944,3.0,2.0,9.6,Double Room with Parade View - Non-Smoking,2 double beds,False,False,True,1,1,2025-02-02
Hilton Garden Inn New York Times Square South,US$178,8.2,Very good,4032,3.0,1.8,,King Room,1 extra-large double bed,False,True,False,1,1,2025-02-02
Arlo SoHo,US$147,8.1,Very good,2084,4.0,5.3,,Urban Twin,2 single beds,False,False,True,1,1,2025-02-02
Best Western Premier Herald Square,US$130,7.8,Good,675,3.0,2.0,,Double Room with Two Double Beds - Non-Smoking,2 double beds,False,False,True,1,1,2025-02-02
Delta Hotels by Marriott New York Times Square,US$158,7.8,Good,4181,4.0,1.6,,King Room,1 extra-large double bed,False,False,True,1,1,2025-02-02
SoHo 54,US$140,7.6,Good,3959,3.0,5.3,,TriBeCa King,1 extra-large double bed,False,False,True,1,1,2025-02-02
Hotel Hayden New York,US$171,7.1,Good,3146,4.0,2.5,,Superior King Room,1 extra-large double bed,False,False,True,1,1,2025-02-02
Courtyard New York Downtown Manhattan/Financial District,US$129,7.7,Good,2167,3.0,7.1,,"Guest room, 1 King, City view",1 extra-large double bed,False,False,True,1,1,2025-02-02
Hilton Garden Inn New York/Midtown Park Avenue,US$141,8.1,Very good,2214,3.0,2.4,9.3,King Room - Hearing Access,1 extra-large double bed,False,False,True,1,1,2025-02-02
The Belvedere Hotel,US$128,7.9,Good,5919,3.0,0.9,9.4,Standard King Room,1 extra-large double bed,False,False,True,1,1,2025-02-02
Executive Hotel Le Soleil New York,US$234,8.6,Fabulous,4532,4.0,2.0,9.5,Executive Queen Room,1 large double bed,False,False,True,1,1,2025-02-02
Millennium Downtown New York,US$226,7.1,Good,5545,4.0,6.8,,RENOVATED Premier King - Hudson River View - High Floor,1 extra-large double bed,False,False,True,1,1,2025-02-02
The Gregorian New York City,US$218,8.3,Very good,1085,4.0,2.1,9.4,Double Room,1 double bed,False,False,True,1,1,2025-02-02
Romer Hell's Kitchen,US$232,8.6,Fabulous,2423,4.0,0.6,9.5,Queen Room with Two Queen Beds,2 large double beds,False,False,True,1,1,2025-02-02
The Gotham Hotel,US$282,8.5,Very good,1709,4.0,1.4,9.5,Midtown Balcony King,1 extra-large double bed,False,False,True,1,1,2025-02-02
Eurostars Wall Street,US$123,7.9,Good,1345,4.0,7.3,,Queen Room,1 large double bed,False,False,True,1,1,2025-02-02
Artezen Hotel,US$205,9.2,Superb,1286,4.0,6.9,9.6,Deluxe King Room,1 extra-large double bed,False,False,True,1,1,2025-02-02
Courtyard by Marriott Times Square West,US$177,8.3,Very good,3096,3.0,1.8,,King Room,1 extra-large double bed,False,False,True,1,1,2025-02-02
Sheraton Tribeca New York Hotel,US$158,7.9,Good,3274,4.0,5.6,,Double Room with 2 Double Beds,2 double beds,False,False,True,1,1,2025-02-02
Royalton New York,US$199,7.5,Good,3093,4.0,1.4,9.4,Standard Queen Room,1 large double bed,False,False,True,1,1,2025-02-02
Riu Plaza New York Times Square,US$221,8.5,Very good,7237,4.0,1.0,9.5,Deluxe King Room,1 extra-large double bed,True,False,True,1,1,2025-02-02
"Hotel Indigo NYC Financial District, an IHG Hotel",US$209,8.8,Fabulous,1540,3.0,7.2,9.5,Standard King Room,1 extra-large double bed,False,True,False,1,1,2025-02-02
Freehand New York,US$173,8.0,Very good,2236,4.0,3.1,,Three's Company,"2 beds (1 bunk bed, 1 large double)",False,False,True,1,1,2025-02-02
The Ridge,US$135,7.5,Good,1302,3.0,5.1,,Standard Twin Room,2 single beds,False,False,True,1,1,2025-02-02
NoMo SoHo,US$289,7.7,Good,1408,4.0,5.6,,Classic Queen,1 large double bed,False,False,True,1,1,2025-02-02
The Allen Hotel,US$145,7.9,Good,1696,4.0,5.6,,Double Room with Balcony,2 double beds,False,False,True,1,1,2025-02-02
Nolitan Hotel SoHo - New York,US$187,7.8,Good,1512,4.0,5.4,,Deluxe Queen Room,1 large double bed,False,False,True,1,1,2025-02-02
Element Times Square West,US$139,8.1,Very good,7507,4.0,1.6,,"Guest Room, 1 King",1 extra-large double bed,True,False,True,1,1,2025-02-02
Hyatt Place New York City - Times Square,US$183,7.8,Good,21903,4.0,1.7,,King Room with Sofa Bed - High Floor,"2 beds (1 extra-large double, 1 sofa bed)",True,False,True,1,1,2025-02-02
Fairfield Inn & Suites by Marriott New York Midtown Manhattan/Penn Station,US$199,7.9,Good,4899,4.0,2.1,9.5,King Room,1 extra-large double bed,True,True,False,1,1,2025-02-02
DoubleTree by Hilton New York Downtown,US$163,7.5,Good,3932,4.0,7.6,,Double Room with Roll In Shower - Mobility Accessible,1 double bed,False,True,False,1,1,2025-02-02
Riverside Tower Hotel,US$129,8.5,Very good,2267,2.0,1.9,,Park View Double,1 double bed,False,False,True,1,1,2025-02-02
"Holiday Inn Express - Wall Street, an IHG Hotel",US$186,7.8,Good,1894,3.0,7.3,,Standard Room,1 extra-large double bed,False,False,True,1,1,2025-02-02
