name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
Four Points by Sheraton New York Downtown,157,134,True,7.8,Good,"1,990",3.0,False,"Manhattan, New York",7.0,,1 extra-large double bed,"Guest Room, 1 King",False,True,False,1,1,2025-02-03
"The Mayfair Hotel Times Square, Ascend Hotel Collection",141,141,False,8.6,Fabulous,"1,902",3.0,False,"Manhattan, New York",0.8,9.6,1 large double bed,Queen Room - Non Smoking,False,False,True,1,1,2025-02-03
Riverside Tower Hotel,129,129,False,8.5,Very good,"2,272",2.0,False,"Upper West Side, New York",1.9,,1 double bed,Park View Double,False,False,True,1,1,2025-02-03
Doubletree By Hilton New York Times Square West,152,152,False,6.8,Review score,"11,269",4.0,False,"Hell's Kitchen, New York",1.6,,1 extra-large double bed,Standard King Room,False,False,True,1,1,2025-02-03
M Social Hotel Times Square New York,232,232,False,8.4,Very good,"11,798",4.0,False,"Manhattan, New York",0.6,9.6,2 double beds,Social City View Doubles,False,False,True,1,1,2025-02-03
City Club Hotel,155,155,False,7.3,Good,"2,517",4.0,False,"Manhattan, New York",1.4,,1 large double bed,Queen Luxe Room,False,False,True,1,1,2025-02-03
"The Cloud One New York-Downtown, by the Motel One Group",163,163,False,8.6,Fabulous,"6,374",4.0,False,"Manhattan, New York",7.0,9.4,1 extra-large double bed,Standard King Room,False,False,True,1,1,2025-02-03
The Washington by LuxUrban,183,183,False,7.7,Good,"9,443",4.0,False,"Manhattan, New York",7.1,9.4,1 single bed,Room Assigned on Arrival,False,False,True,1,1,2025-02-03
The Chelsean New York,140,120,True,7.0,Good,"2,730",3.0,False,"Chelsea, New York",2.8,,1 extra-large double bed,King Room - Disability Access,False,False,True,1,1,2025-02-03
Riu Plaza New York Times Square,262,199,True,8.5,Very good,"7,245",4.0,False,"Hell's Kitchen, New York",1.0,9.5,1 extra-large double bed,Deluxe King Room,True,False,True,1,1,2025-02-03
Hotel St. James,140,140,False,8.1,Very good,"3,208",2.0,False,"Manhattan, New York",1.2,9.7,1 large double bed,One Queen Bed Room,False,False,True,1,1,2025-02-03
Aura Hotel Times Square Newly Renovated,187,166,True,7.6,Good,447,4.0,False,"Manhattan, New York",1.3,9.3,1 single bed,Standard Full,False,False,True,1,1,2025-02-03
Radio Hotel,86,86,False,7.7,Good,"1,716",4.0,False,"Washington Heights, New York",9.8,,,Standard Studio,False,False,True,1,1,2025-02-03
