,Unnamed: 0,name,original_price,discounted_price,discount,review_score,review_title,number_of_reviews,star_rating,is_apartment,neighborhood,kms_from_centre,location_score,bed_type,room_type,breakfast_included,free_cancellation,prepayment_needed,time_to_travel,length_of_stay,snapshot_date
0,0,Holiday Inn Wall Street by IHG,215,156,0,7.3,Good,1090.0,3.0,0,"Manhattan, New York",7.0,1.0,1 extra-large double bed,King Room,0,0,0,1,1,2025-03-09
1,1,Roxy Hotel New York,507,461,0,8.6,Fabulous,1151.0,4.0,0,"Tribeca, New York",5.8,9.3,1 extra-large double bed,Deluxe King Room,0,0,0,1,1,2025-03-09
2,2,"The Mayfair Hotel Times Square, Ascend Hotel Collection",157,157,0,8.6,Fabulous,2066.0,3.0,0,"Manhattan, New York",1.0,9.6,1 double bed,Deluxe Double Room - Non Smoking,0,0,0,1,1,2025-03-09
3,3,The Belvedere Hotel,154,139,0,7.9,Good,5893.0,3.0,0,"Hell's Kitchen, New York",1.0,9.4,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-03-09
4,4,Delta Hotels by Marriott New York Times Square,174,174,0,7.8,Good,3685.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,2 double beds,Double Room with Two Double Beds,0,0,0,1,1,2025-03-09
5,5,Fairfield Inn by Marriott New York Manhattan/Financial District,140,140,0,7.8,Good,3648.0,3.0,0,"Manhattan, New York",7.2,1.0,1 extra-large double bed,King Room,0,0,0,1,1,2025-03-09
6,6,"U Hotel Fifth Avenue, Empire State Building",152,152,0,7.9,Good,3396.0,3.0,0,"Manhattan, New York",2.1,9.5,1 double bed,Double Room,0,0,0,1,1,2025-03-09
7,7,"The Cloud One New York-Downtown, by the Motel One Group",197,197,0,8.6,Fabulous,6519.0,4.0,0,"Manhattan, New York",7.0,9.4,1 extra-large double bed,Standard King Room,0,0,0,1,1,2025-03-09
8,8,UNTITLED at 3 Freeman Alley,243,243,0,8.5,Very good,591.0,4.0,0,"Lower East Side, New York",5.2,1.0,1 large double bed,Studio Queen,0,0,0,1,1,2025-03-09
9,9,DoubleTree by Hilton New York Times Square South,219,219,0,8.2,Very good,6507.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,1 extra-large double bed,King Room,0,0,0,1,1,2025-03-09
10,10,Riverside Tower Hotel,152,152,0,8.5,Very good,2497.0,2.0,0,"Upper West Side, New York",1.9,1.0,1 double bed,Park View Double,0,0,0,1,1,2025-03-09
11,11,Doubletree By Hilton New York Times Square West,197,197,0,6.8,Review score,10996.0,4.0,0,"Hell's Kitchen, New York",1.0,1.0,1 extra-large double bed,King Bed with City View,0,0,0,1,1,2025-03-09
12,12,The Manhattan at Times Square,137,137,0,5.5,Review score,7619.0,4.0,0,"Manhattan, New York",1.0,1.0,1.0,Standard Room,0,0,0,1,1,2025-03-09
13,13,M Social Hotel Times Square New York,358,358,0,8.4,Very good,11942.0,4.0,0,"Manhattan, New York",1.0,9.6,1 extra-large double bed,Social City View King,0,0,0,1,1,2025-03-09
14,14,Four Points by Sheraton New York Downtown,203,203,0,7.9,Good,2036.0,3.0,0,"Manhattan, New York",7.0,1.0,1 extra-large double bed,"Guest Room, 1 King",0,0,0,1,1,2025-03-09
