WeekDay,DayDiff,Class,Hotel_Index,Snapshot_Month,Snapshot_Day,Checkin_Month,Checkin_Day
4,26,1,0,7,17,8,12
4,33,1,0,7,17,8,19
5,27,1,1,7,17,8,13
1,9,1,2,7,17,7,26
4,26,1,2,7,17,8,12
6,21,1,3,7,17,8,7
1,23,1,3,7,17,8,9
4,26,1,3,7,17,8,12
5,27,1,3,7,17,8,13
4,5,1,4,7,17,7,22
5,13,1,5,7,17,7,30
6,14,1,5,7,17,7,31
1,9,1,6,7,17,7,26
1,16,1,6,7,17,8,2
4,5,1,7,7,17,7,22
5,6,1,7,7,17,7,23
6,7,1,7,7,17,7,24
7,8,1,7,7,17,7,25
1,9,1,7,7,17,7,26
2,10,1,7,7,17,7,27
3,11,1,7,7,17,7,28
2,17,1,7,7,17,8,3
3,18,1,7,7,17,8,4
4,19,1,7,7,17,8,5
5,20,1,7,7,17,8,6
6,21,1,7,7,17,8,7
7,22,1,7,7,17,8,8
1,23,1,7,7,17,8,9
2,24,1,7,7,17,8,10
4,26,1,7,7,17,8,12
5,27,1,7,7,17,8,13
2,31,1,7,7,17,8,17
6,7,1,8,7,17,7,24
7,8,1,8,7,17,7,25
1,16,1,8,7,17,8,2
7,22,1,8,7,17,8,8
1,23,1,8,7,17,8,9
2,31,1,9,7,17,8,17
5,6,1,10,7,17,7,23
6,7,1,10,7,17,7,24
7,8,1,10,7,17,7,25
6,14,1,10,7,17,7,31
7,15,1,10,7,17,8,1
1,16,1,10,7,17,8,2
7,22,1,10,7,17,8,8
5,13,1,11,7,17,7,30
5,20,1,11,7,17,8,6
5,27,1,11,7,17,8,13
5,34,1,11,7,17,8,20
4,5,1,12,7,17,7,22
6,14,1,12,7,17,7,31
7,15,1,12,7,17,8,1
6,21,1,12,7,17,8,7
1,16,1,13,7,17,8,2
1,23,1,13,7,17,8,9
7,29,1,13,7,17,8,15
1,16,1,14,7,17,8,2
7,8,1,15,7,17,7,25
4,33,1,16,7,17,8,19
5,6,1,17,7,17,7,23
4,5,1,18,7,17,7,22
4,19,1,18,7,17,8,5
4,26,1,18,7,17,8,12
4,33,1,18,7,17,8,19
5,6,1,19,7,17,7,23
7,1,1,20,7,17,7,18
4,5,1,20,7,17,7,22
6,7,1,20,7,17,7,24
4,12,1,20,7,17,7,29
4,26,1,20,7,17,8,12
4,33,1,20,7,17,8,19
1,23,1,21,7,17,8,9
1,30,1,21,7,17,8,16
3,4,1,22,7,17,7,21
5,6,1,22,7,17,7,23
5,13,1,22,7,17,7,30
4,19,1,22,7,17,8,5
6,21,1,22,7,17,8,7
7,22,1,22,7,17,8,8
3,25,1,22,7,17,8,11
4,26,1,22,7,17,8,12
5,27,1,22,7,17,8,13
4,33,1,22,7,17,8,19
5,34,1,22,7,17,8,20
7,29,1,23,7,17,8,15
1,2,1,24,7,17,7,19
6,7,1,24,7,17,7,24
4,12,1,24,7,17,7,29
1,2,1,25,7,17,7,19
5,6,1,26,7,17,7,23
7,8,1,27,7,17,7,25
7,29,1,27,7,17,8,15
4,26,1,28,7,17,8,12
7,22,1,29,7,17,8,8
7,1,1,30,7,17,7,18
5,6,1,31,7,17,7,23
4,12,1,32,7,17,7,29
4,19,1,32,7,17,8,5
4,26,1,32,7,17,8,12
4,33,1,32,7,17,8,19
1,9,1,33,7,17,7,26
7,8,1,34,7,17,7,25
1,9,1,34,7,17,7,26
6,21,1,34,7,17,8,7
1,23,1,34,7,17,8,9
6,28,1,34,7,17,8,14
7,29,1,34,7,17,8,15
4,33,1,34,7,17,8,19
6,14,1,35,7,17,7,31
7,22,1,35,7,17,8,8
4,26,1,36,7,17,8,12
3,32,1,37,7,17,8,18
1,9,1,38,7,17,7,26
1,16,1,39,7,17,8,2
4,19,1,39,7,17,8,5
5,20,1,39,7,17,8,6
3,32,1,39,7,17,8,18
5,34,1,39,7,17,8,20
1,16,1,40,7,17,8,2
1,23,1,40,7,17,8,9
7,29,1,40,7,17,8,15
1,30,1,40,7,17,8,16
4,33,1,40,7,17,8,19
7,29,1,41,7,17,8,15
1,9,1,42,7,17,7,26
3,25,1,43,7,17,8,11
1,9,1,44,7,17,7,26
6,21,1,44,7,17,8,7
6,28,1,44,7,17,8,14
5,6,1,45,7,17,7,23
4,26,1,45,7,17,8,12
4,33,1,45,7,17,8,19
5,27,1,46,7,17,8,13
6,28,1,46,7,17,8,14
2,31,1,46,7,17,8,17
4,33,1,46,7,17,8,19
1,9,1,47,7,17,7,26
3,18,1,47,7,17,8,4
4,19,1,47,7,17,8,5
1,23,1,47,7,17,8,9
4,26,1,47,7,17,8,12
6,28,1,47,7,17,8,14
4,33,1,47,7,17,8,19
3,11,1,48,7,17,7,28
4,19,1,49,7,17,8,5
4,26,1,49,7,17,8,12
4,33,1,49,7,17,8,19
1,23,1,50,7,17,8,9
7,8,1,51,7,17,7,25
4,19,1,52,7,17,8,5
1,9,1,53,7,17,7,26
1,9,1,54,7,17,7,26
5,13,1,54,7,17,7,30
4,12,1,55,7,17,7,29
1,9,1,56,7,17,7,26
2,10,1,56,7,17,7,27
3,11,1,56,7,17,7,28
4,12,1,56,7,17,7,29
1,16,1,56,7,17,8,2
2,17,1,56,7,17,8,3
3,18,1,56,7,17,8,4
4,19,1,56,7,17,8,5
1,23,1,56,7,17,8,9
2,24,1,56,7,17,8,10
4,26,1,56,7,17,8,12
7,29,1,56,7,17,8,15
6,14,1,57,7,17,7,31
1,23,1,57,7,17,8,9
2,24,1,58,7,17,8,10
5,27,1,58,7,17,8,13
5,13,1,59,7,17,7,30
5,13,1,60,7,17,7,30
4,12,1,60,7,17,7,29
3,18,1,60,7,17,8,4
4,26,1,60,7,17,8,12
5,27,1,60,7,17,8,13
4,33,1,60,7,17,8,19
5,34,1,60,7,17,8,20
4,26,1,61,7,17,8,12
4,33,1,61,7,17,8,19
5,13,1,62,7,17,7,30
3,18,1,62,7,17,8,4
2,24,1,62,7,17,8,10
4,26,1,62,7,17,8,12
6,28,1,62,7,17,8,14
3,32,1,63,7,17,8,18
4,33,1,63,7,17,8,19
6,14,1,64,7,17,7,31
1,23,1,65,7,17,8,9
2,24,1,65,7,17,8,10
7,29,1,66,7,17,8,15
7,15,1,67,7,17,8,1
6,14,1,68,7,17,7,31
6,21,1,68,7,17,8,7
6,28,1,68,7,17,8,14
4,12,1,69,7,17,7,29
4,19,1,69,7,17,8,5
4,26,1,69,7,17,8,12
4,33,1,69,7,17,8,19
4,33,1,70,7,17,8,19
6,7,1,71,7,17,7,24
6,14,1,71,7,17,7,31
6,21,1,71,7,17,8,7
6,28,1,71,7,17,8,14
4,5,1,72,7,17,7,22
5,6,1,72,7,17,7,23
6,14,1,72,7,17,7,31
4,19,1,72,7,17,8,5
4,33,1,72,7,17,8,19
7,8,1,73,7,17,7,25
7,22,1,73,7,17,8,8
7,29,1,73,7,17,8,15
3,18,1,74,7,17,8,4
4,19,1,74,7,17,8,5
1,23,1,74,7,17,8,9
4,33,1,74,7,17,8,19
1,9,1,75,7,17,7,26
2,10,1,75,7,17,7,27
5,13,1,75,7,17,7,30
1,16,1,75,7,17,8,2
5,20,1,75,7,17,8,6
4,26,1,75,7,17,8,12
1,30,1,75,7,17,8,16
4,33,1,75,7,17,8,19
6,21,1,76,7,17,8,7
1,23,1,76,7,17,8,9
6,28,1,76,7,17,8,14
1,30,1,76,7,17,8,16
7,22,1,77,7,17,8,8
4,33,1,78,7,17,8,19
4,33,1,79,7,17,8,19
7,29,1,80,7,17,8,15
1,23,1,81,7,17,8,9
4,26,1,81,7,17,8,12
4,33,1,81,7,17,8,19
7,29,1,82,7,17,8,15
4,12,1,83,7,17,7,29
1,16,1,83,7,17,8,2
3,18,1,83,7,17,8,4
1,23,1,83,7,17,8,9
4,26,1,83,7,17,8,12
1,30,1,83,7,17,8,16
4,33,1,83,7,17,8,19
5,34,1,83,7,17,8,20
5,34,1,84,7,17,8,20
1,23,1,85,7,17,8,9
1,30,1,85,7,17,8,16
3,25,2,0,7,17,8,11
4,26,2,0,7,17,8,12
3,32,2,0,7,17,8,18
4,33,2,0,7,17,8,19
7,8,2,1,7,17,7,25
5,20,2,1,7,17,8,6
4,26,2,1,7,17,8,12
5,27,2,1,7,17,8,13
4,33,2,1,7,17,8,19
4,26,2,2,7,17,8,12
1,23,2,3,7,17,8,9
5,27,2,3,7,17,8,13
4,5,2,4,7,17,7,22
5,13,2,5,7,17,7,30
3,25,2,5,7,17,8,11
7,1,2,7,7,17,7,18
3,4,2,7,7,17,7,21
4,5,2,7,7,17,7,22
6,7,2,7,7,17,7,24
7,8,2,7,7,17,7,25
1,9,2,7,7,17,7,26
2,10,2,7,7,17,7,27
3,11,2,7,7,17,7,28
4,12,2,7,7,17,7,29
1,16,2,7,7,17,8,2
2,17,2,7,7,17,8,3
3,18,2,7,7,17,8,4
4,19,2,7,7,17,8,5
5,20,2,7,7,17,8,6
6,21,2,7,7,17,8,7
1,23,2,7,7,17,8,9
2,24,2,7,7,17,8,10
3,25,2,7,7,17,8,11
4,26,2,7,7,17,8,12
5,27,2,7,7,17,8,13
1,30,2,7,7,17,8,16
7,8,2,8,7,17,7,25
2,10,2,8,7,17,7,27
3,11,2,8,7,17,7,28
7,15,2,8,7,17,8,1
1,16,2,8,7,17,8,2
2,17,2,8,7,17,8,3
7,22,2,8,7,17,8,8
1,23,2,8,7,17,8,9
2,31,2,9,7,17,8,17
5,6,2,10,7,17,7,23
6,7,2,10,7,17,7,24
3,11,2,10,7,17,7,28
4,12,2,10,7,17,7,29
6,14,2,10,7,17,7,31
7,15,2,10,7,17,8,1
4,19,2,10,7,17,8,5
6,21,2,10,7,17,8,7
7,22,2,10,7,17,8,8
4,26,2,10,7,17,8,12
5,6,2,11,7,17,7,23
4,12,2,11,7,17,7,29
5,13,2,11,7,17,7,30
4,19,2,11,7,17,8,5
